Transport,121
Inorganic Ion Transport and Metabolism,39
Cofactor and Prosthetic Group Biosynthesis,24
Alternate Carbon Metabolism,24
Murein Recycling,13
Lipopolysaccharide Biosynthesis / Recycling,12
Oxidative Phosphorylation,11
Nucleotide Salvage Pathway,10
Purine and Pyrimidine Biosynthesis,8
Glycolysis/Gluconeogenesis,6
Cell Envelope Biosynthesis,6
Arginine and Proline Metabolism,5
Threonine and Lysine Metabolism,4
Membrane Lipid Metabolism,4
Pyruvate Metabolism,3
Tyrosine,2
Glycine and Serine Metabolism,2
Citric Acid Cycle,2
Biomass and maintenance functions,2
Pentose Phosphate Pathway,1
Nitrogen Metabolism,1
Methionine Metabolism,1
Glyoxylate Metabolism,1
Glycerophospholipid Metabolism,1
Glutamate Metabolism,1
Cysteine Metabolism,1
Anaplerotic Reactions,1
,1
