line,total_mutations,atp_mutations,odds_ratio,p_value,significant
line 4,217,20,1.9938095827658784,0.009775622145421752,True
line 6,45,6,2.939234281700035,0.024422962758368093,True
line 7,250,19,1.5939141764384483,0.07252557343732713,False
line 5,88,7,1.6419753086419753,0.21294795724543208,False
line 10,139,10,1.4761132143500992,0.2358527677403347,False
line 3,103,8,1.601940334707737,0.24772787924705675,False
line 1,162,11,1.3861484186420747,0.27491633517230396,False
line 8,41,3,1.4882645803698435,0.4617039669736015,False
line 9,148,6,0.7873818251977619,0.7042071190699812,False
line 2,103,4,0.7539649892591069,0.8189241861754589,False
