CDS,gene_name,b_number
alsA CDS,alsA,b4087
ddlA CDS,ddlA,b0381
fepC CDS,fepC,b0588
fucK CDS,fucK,b2803
lysC CDS,lysC,b4024
malE CDS,malE,b4034
malK CDS,malK,b4035
malK CDS,malK,b4035
nadK CDS,nadK,b2615
pfkA CDS,pfkA,b3916
proX CDS,proX,b2679
purC CDS,purC,b2476
purL CDS,purL,b2557
sufD CDS,sufD,b1681
tauB CDS,tauB,b0366
araF CDS,araF,b1901
ccmC CDS,ccmC,b2199
mglC CDS,mglC,b2148
purL CDS,purL,b2557
pykF CDS,pykF,b1676
udk CDS,udk,b2066
feoB CDS,feoB,b3409
fepD CDS,fepD,b0590
fucK CDS,fucK,b2803
glpK CDS,glpK,b3926
glpK CDS,glpK,b3926
kdpA CDS,kdpA,b0698
lptF CDS,lptF,b4261
lysC CDS,lysC,b4024
pfkA CDS,pfkA,b3916
purM CDS,purM,b2499
pyrH CDS,pyrH,b0171
sucD CDS,sucD,b0729
anmK CDS,anmK,b1640
arsB CDS,arsB,b3502
btuD CDS,btuD,b1709
pncB CDS,pncB,b0931
proV CDS,proV,b2677
purL CDS,purL,b2557
pykF CDS,pykF,b1676
ribF CDS,ribF,b0025
sufS CDS,sufS,b1680
carB CDS,carB,b0033
fecB CDS,fecB,b4290
folC CDS,folC,b2315
frlD CDS,frlD,b3374
hisP CDS,hisP,b2306
lptF CDS,lptF,b4261
mpl CDS,mpl,b4233
murE CDS,murE,b0085
oppA CDS,oppA,b1243
osmF CDS,osmF,b2131
potF CDS,potF,b0854
purL CDS,purL,b2557
purM CDS,purM,b2499
pykF CDS,pykF,b1676
sufB CDS,sufB,b1683
tauA CDS,tauA,b0365
tdcD CDS,tdcD,b3115
thiM CDS,thiM,b2104
gsiD CDS,gsiD,b0832
ispE CDS,ispE,b1208
lpxK CDS,lpxK,b0915
modC CDS,modC,b0765
potF CDS,potF,b0854
ribF CDS,ribF,b0025
sufS CDS,sufS,b1680
thiL CDS,thiL,b0417
hldE CDS,hldE,b3052
proB CDS,proB,b0242
purM CDS,purM,b2499
anmK CDS,anmK,b1640
cysP CDS,cysP,b2425
fecB CDS,fecB,b4290
fepD CDS,fepD,b0590
fhuB CDS,fhuB,b0153
glpK CDS,glpK,b3926
glxK CDS,glxK,b0514
gsiC CDS,gsiC,b0831
gsiC CDS,gsiC,b0831
hisQ CDS,hisQ,b2308
metI CDS,metI,b0198
metN CDS,metN,b0199
modB CDS,modB,b0764
nanK CDS,nanK,b3222
pdxK CDS,pdxK,b2418
purC CDS,purC,b2476
purD CDS,purD,b4005
purK CDS,purK,b0522
pyrH CDS,pyrH,b0171
yejF CDS,yejF,b2180
alsK CDS,alsK,b4084
alsK CDS,alsK,b4084
cysW CDS,cysW,b2423
dppA CDS,dppA,b3544
fecB CDS,fecB,b4290
hldE CDS,hldE,b3052
kdpA CDS,kdpA,b0698
lptD CDS,lptD,b0054
lyxK CDS,lyxK,b3580
nikA CDS,nikA,b3476
nikE CDS,nikE,b3480
purC CDS,purC,b2476
rsgA CDS,rsgA,b4161
sufD CDS,sufD,b1681
thiB CDS,thiB,b0068
thiP CDS,thiP,b0067
